BIN,PRODUCTO,NATURALEZA,MARCA
22510098,CLARA COMMERCIAL CREDIT,CREDITO,MASTER CARD
22510099,CLARA COMMERCIAL CREDIT,CREDITO,MASTER CARD
23085200,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085201,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085202,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085203,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085204,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085205,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085206,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085207,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085208,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085209,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085210,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085211,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085212,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085213,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085214,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085215,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085216,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085217,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085218,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085219,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085220,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085221,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085222,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085223,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085224,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085225,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085226,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085227,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085228,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085229,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085230,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085231,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085232,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085233,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085234,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085235,CREDITO MASTER CARD,CREDITO,MASTER CARD
